TEMPLATE TỰ ĐÁNH GIÁ ĐỒ ÁN CUỐI KỲ – CRYPTO STRATEGY LAB,,,,,,,,,,,,,
,,,,,,,,,,,,,
Tên đề tài,,CryptoBot,,Link GitHub,,https://github.com/EnsoTech-Studio/CryptoBot,,,,,Nhóm tiêu chí,Điểm tối đa,Điểm đạt
5,A. Kiến trúc phần mềm,Realtime & Multi-timeframe,"Realtime flow rõ ràng (stream/WebSocket); tối đa 4 chart, mỗi chart đổi timeframe độc lập; frontend không phụ thuộc trực tiếp schema Binance.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/server/internal/infrastructure/postgres/store.go#L177-L228,"Luồng realtime đã dùng WebSocket, checkpoint và dữ liệu market có provider/symbol/timeframe rõ ràng để mỗi chart đổi timeframe độc lập. Nhóm sẽ tiếp tục kiểm tra giao diện ở nhiều kích thước màn hình và tình huống stream stale.",,,,,
6,A. Kiến trúc phần mềm,Reliability & Observability,"Có xử lý disconnect/retry/reconnect, lỗi worker/job; theo dõi trạng thái loop, số candidate, thời gian backtest, job lỗi, Top-1 hiện tại.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/docs/architecture/architectural-drivers.md#L11-L14,"Cơ chế lease, heartbeat, retry và outbox đã giúp worker không bị mất job khi process dừng giữa chừng. Phần cần hoàn thiện thêm là chuẩn hóa dashboard quan sát queue depth, retry count và thời gian xử lý theo môi trường demo.",,,,,
7,A. Kiến trúc phần mềm,Reproducibility & Versioning,"Strategy/experiment có version; một kết quả leaderboard truy vết được dataset, timeframe, parameters, strategy version và trade result.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/blueprint/design.md#L1864-L1864,"Mỗi experiment lưu dataset, strategy version, parameter, result hash và các fact giao dịch để có thể truy vết lại kết quả. Nhóm sẽ bổ sung thêm màn hình provenance ngắn gọn hơn để người demo kiểm tra đầu vào của một leaderboard entry nhanh hơn.",,,,,
8,B. Chức năng yêu cầu,Market Data & Candlestick,Lấy historical + realtime data từ Binance; candlestick/volume hiển thị đúng; cập nhật liên tục và ổn định.,10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/server/internal/infrastructure/market/binance.go#L84-L110,"Market gateway đã chuẩn hóa candle/BBO từ provider và hỗ trợ historical data lẫn realtime stream. Nhóm sẽ tiếp tục seed thêm dataset nhỏ phục vụ demo offline, đồng thời kiểm tra dữ liệu live trước khi thuyết trình.",,,,,
9,B. Chức năng yêu cầu,Strategy Engine ≥ 4 strategy,"Có ít nhất 4 strategy đơn lẻ (ví dụ MA, RSI, Bollinger, Support/Resistance) theo một contract tín hiệu chuẩn BUY/SELL/HOLD hoặc tương đương.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/app/domain/strategy/plugins/catalog.py#L103-L120,"Registry hiện có nhiều strategy như RSI, MA Cross, MACD, Bollinger, Support/Resistance, SMC và News Sentiment. Nhóm sẽ rà lại mô tả, tham số mặc định và overlay của từng strategy để phần demo dễ theo dõi hơn.",,,,,
10,B. Chức năng yêu cầu,Composite Strategy,"Kết hợp được nhiều strategy; có quy tắc xử lý xung đột (majority vote, weighted combination hoặc phương pháp khác) và giải thích được.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/app/domain/strategy/composite/contract.py#L41-L117,Composite strategy hỗ trợ kết hợp nhiều strategy với policy và trọng số được lưu thành snapshot. Kế hoạch tiếp theo là bổ sung thêm ví dụ cấu hình mẫu để người dùng hiểu nhanh sự khác nhau giữa weighted vote và các policy khác.,,,,,
11,B. Chức năng yêu cầu,Backtesting Engine,Giả lập giao dịch trên historical data; sinh được entry/exit/trades; tách backtest khỏi strategy implementation.,10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/app/services/backtest_engine.py#L545-L610,"Backtest engine chạy trên snapshot market, candle/BBO và mô phỏng entry, exit, fee, slippage, LONG/SHORT cùng SL/TP. Nhóm sẽ tiếp tục kiểm tra các cấu hình biên và trình bày rõ giả định fill policy trong lúc demo.",,,,,
12,B. Chức năng yêu cầu,Strategy Evaluation,"Tối thiểu có Return, Win Rate, Max Drawdown, Number of Trades; nên có Profit Factor/Sharpe; evaluator tách riêng.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/app/services/evaluator.py#L35-L111,"Evaluator tách riêng khỏi backtest để tính các metric như return, win rate, drawdown, profit factor và Sharpe. Nhóm sẽ giữ nguyên policy đánh giá theo version để các kết quả cũ vẫn có thể giải thích và so sánh lại.",,,,,
13,B. Chức năng yêu cầu,Strategy Search & Stop Condition,Có ít nhất Random Search; generate → backtest → evaluate → rank; có điều kiện dừng rõ (số candidate/thời gian/no-improvement).,10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/app/services/search.py#L35-L50,"Search flow đã có generate, backtest, evaluate, rank, stop condition và quota cho từng run. Phần hoàn thiện thêm là chuẩn bị một search run mẫu có dữ liệu nhỏ để demo tiến trình nhanh, tránh phải chờ quá lâu trên máy trình chiếu.",,,,,
14,B. Chức năng yêu cầu,Leaderboard Top-K,Hiển thị Top-K strategy; rank/sort theo metric hoặc overall score; candidate mới có thể cập nhật leaderboard.,10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/app/infrastructure/postgres/store.py#L2600-L2690,Leaderboard lưu các entry theo evaluation và có API truy vết provenance thay vì chỉ hiển thị một bảng điểm. Nhóm sẽ chuẩn bị dữ liệu demo ổn định để thứ hạng hiển thị nhất quán trong phần vấn đáp.,,,,,
15,B. Chức năng yêu cầu,Visualization Strategy & Trade,"Chart hiển thị Buy/Sell, Entry/Exit và indicator/zone liên quan; xem được trade detail và highlight giao dịch.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/app/services/chart_overlays.py#L15-L27,"Chart hiển thị candlestick, indicator overlay, signal marker và trade marker từ backend canonical runtime. Kế hoạch là kiểm tra lại cách hiển thị entry/exit/SL/TP trên một dataset cố định để tránh nhầm lẫn giữa tín hiệu và lệnh khớp.",,,,,
16,B. Chức năng yêu cầu,News Collector,"Có pipeline collect → normalize → store; provider abstraction; NewsItem có các trường chính như title, content/source, publishedAt, relatedCoins, url.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/app/services/news.py#L38-L151,"News pipeline thu thập nguồn đã phê duyệt, lưu item và có quality gate cho HTML. Nhóm sẽ tiếp tục rà lại danh sách nguồn demo và chuẩn bị dữ liệu dự phòng nếu một website bên ngoài thay đổi hoặc không phản hồi.",,,,,
17,B. Chức năng yêu cầu,Sentiment Analysis,Phân tích POSITIVE/NEUTRAL/NEGATIVE (hoặc score tương đương); kết quả lưu được; có thể tích hợp sentiment thành strategy nếu nhóm triển khai.,10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/app/domain/strategy/plugins/news_sentiment.py#L7-L47,"Sentiment được lưu theo model/version và có thể dùng trong NewsSentimentStrategy thay vì chỉ là nhãn trên giao diện. Nhóm sẽ nêu rõ trong demo rằng sentiment là tín hiệu hỗ trợ nghiên cứu, không phải khuyến nghị giao dịch.",,,,,
18,C. Hồ sơ & tài liệu,Source code + README,"Repository hoàn chỉnh; README có Install, Run, Architecture, Demo; nếu private phải cấp quyền cho giảng viên.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/README.md#L1-L5,"Repository có README hướng dẫn kiến trúc, cách chạy service, worker và các kịch bản kiểm thử chính. Nhóm sẽ rà lại lệnh khởi động trên máy demo để đảm bảo thành viên khác clone về vẫn chạy được.",,,,,
19,C. Hồ sơ & tài liệu,Architecture Document,"Có System Context, module/container decomposition, component responsibilities, Data Flow, Realtime Flow, Strategy Flow, Search/Backtest Flow.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/blueprint/design.md#L38-L87,"Blueprint mô tả C4, component boundary, data flow, deployment, quality attributes và các scenario quan trọng. Nhóm sẽ giữ đồng bộ tài liệu với source sau mỗi thay đổi cuối cùng trước ngày nộp.",,,,,
20,C. Hồ sơ & tài liệu,Architectural Decision Records (ADR),"Có các quyết định chính và lý do: WebSocket/stream, plugin architecture, queue/worker, tách Sentiment Service... hoặc ADR tương đương.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/blueprint/design.md#L3565-L3743,"Các ADR đã ghi rõ lý do chọn WebSocket, Plugin Registry, PostgreSQL queue, outbox, async backtest, versioning và boundary Go/Python. Khi vấn đáp, nhóm sẽ tập trung giải thích trade-off thay vì chỉ liệt kê công nghệ.",,,,,
21,C. Hồ sơ & tài liệu,Video/demo & link minh chứng,"Link demo, báo cáo, hướng dẫn cài đặt hoạt động; minh chứng được gắn trực tiếp vào rubric để người chấm kiểm tra nhanh.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/Slide/main.md#L1-L80,"Slide và kịch bản demo đã được chuẩn bị cùng các đường dẫn source/test liên quan. Nhóm sẽ quay hoặc cập nhật video demo cuối, kiểm tra lại link và dùng cùng một dataset để tránh khác biệt kết quả khi trình bày.",,,,,
22,D. Demo & độ tin cậy,Demo end-to-end,Trình diễn được flow: dữ liệu realtime → chọn strategy → search → backtest → evaluate → leaderboard → click strategy → visualize → news/sentiment.,10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/scripts/rehearsal-smoke.ps1#L53-L80,"Kịch bản end-to-end bao gồm đăng nhập, chọn dataset/strategy, tạo experiment, theo dõi trạng thái và xem trades/metrics/leaderboard. Nhóm sẽ rehearsal trước để tránh phụ thuộc vào dữ liệu live hoặc Internet trong lúc demo.",,,,,
23,D. Demo & độ tin cậy,Scenario kiến trúc / xử lý lỗi,Chứng minh ít nhất 2 scenario: thêm MACD ít sửa code; đổi search algorithm; disconnect Binance; News lỗi nhưng chart vẫn chạy; trace strategy version.,10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/scripts/failure-contract-smoke.ps1#L10-L26,"Nhóm đã chuẩn bị scenario cho reconnect market, worker retry/lease reclaim, outbox idempotency và AI/news unavailable. Phần trình bày sẽ giải thích cơ chế phục hồi theo flow thay vì cố tạo lỗi ngẫu nhiên ngay trên máy thuyết trình.",,,,,
24,E. Mở rộng có giá trị,Phần nâng cao có mục tiêu kiến trúc rõ,"Ví dụ Genetic/Bayesian/LLM search, worker pool, multiple exchanges, market regime, ML nâng cao... Chỉ tự chấm cao khi chứng minh công sức, độ phức tạp và vấn đề kiến trúc được giải quyết.",10,4,10,https://github.com/EnsoTech-Studio/CryptoBot/blob/d39f3510fcec0e2716caef4c5670ec955d0a2cc2/docs/benchmark-100k-2026-09-03.json#L1-L17,"Các phần mở rộng được chọn theo vấn đề kiến trúc thực tế: provider replacement, worker pool, authoring có sandbox, news self-healing và provenance. Nhóm sẽ chỉ trình bày phần đã có code/đo lường, không xem việc dùng nhiều công nghệ là điểm cộng tự động.",,,,,
TỔNG,,,,240,,240,,,,,,,
